ID,Language_ID,Parameter_ID,Value,Source_Language_ID,Inventory_ID,OnlyInLoanwords,Result,NewDistinction,PhonemeComments
18,aleu1260,18,ɡ,"russ1263,stan1293",8,yes,new phoneme,voicing in plosives,"alternating individually with the native velar fricative, in older loanwords rendered as /k/"
19,aleu1260,19,o,"russ1263,stan1293",8,no,new phoneme,mid vowels,"occurs in native words allophonically, recent borrowing has broadened its distribution"
20,aleu1260,20,oː,"russ1263,stan1293",8,no,new phoneme,mid vowels,"occurs in native words allophonically, recent borrowing has broadened its distribution"
21,aleu1260,21,p,"russ1263,stan1293",8,yes,new phoneme,no,in older loanwords rendered as /m/ or /m̥/
22,aleu1260,22,ɹ,stan1293,8,yes,new phoneme,rhotic,
23,aleu1260,23,v,"russ1263,stan1293",8,yes,new phoneme,labiodental,"in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)"
24,aleu1260,24,z,russ1263,8,yes,new phoneme,no,Occurs natively in one dialect
25,alqo1238,25,d̠ʒ,"kurd1259,arab1395",9,yes,,,
26,alqo1238,26,dˤ,arab1395,9,no,phonologization of allophone,,phoneme in only one loanword
27,alqo1238,27,ðˤ,arab1395,9,no,phonologization of allophone,,
28,alqo1238,28,f,arab1395,9,yes,,,
29,alqo1238,29,ɣ,arab1395,9,mostly,,,
30,alqo1238,30,ħ,arab1395,9,mostly,,,
31,alqo1238,31,pˤ,kurd1259,9,unknown,,,
32,alqo1238,32,t̠ʃ,"kurd1259,arab1395",9,yes,,,
33,alqo1238,33,v,kurd1259,9,mostly,,,
34,alqo1238,34,zˤ,,9,mostly,,,
35,alqo1238,35,ʒ,kurd1259,9,no,phonologization of allophone,,a native allophone of /ʃ/
36,alqo1238,36,ʕ̞,arab1395,9,mostly,,,
37,amap1240,37,h,,10,no,other distributional change,no,in native phonology /h/ is rare and appears only before /a/
38,wara1294,38,b,"stan1293,hiri1237",13,yes,new phoneme,no,appears also in ideophones. voiced stops are pre-nasalised in native phonology
39,wara1294,39,d,"stan1293,hiri1237",13,yes,new phoneme,no,voiced stops are pre-nasalised in native phonology
40,wara1294,40,ɡ,"stan1293,hiri1237",13,yes,new phoneme,no,voiced stops are pre-nasalised in native phonology
41,wara1294,41,l,"stan1293,hiri1237",13,yes,new phoneme,lateral,
42,arbe1239,42,d̠ʒ,,14,yes,to be checked,to be checked,
43,arbe1239,43,dˤ,,14,yes,to be checked,to be checked,
44,arbe1239,44,f,,14,yes,to be checked,to be checked,
45,arbe1239,45,zˤ,,14,yes,to be checked,to be checked,
46,arbe1239,46,ʒ,,14,yes,to be checked,to be checked,
47,stan1288,47,d̠ʒ,ital1282,15,yes,to be checked,to be checked,
48,stan1288,48,ʎ,stan1288,15,yes,to be checked,to be checked,
49,stan1288,49,z,stan1290,15,yes,to be checked,to be checked,imperfect borrowing of /ʒ/
50,asil1242,50,b,"ambo1250,indo1316",16,yes,new phoneme,voicing,voicing may not be distinctive in native phonology
51,asil1242,51,d,"ambo1250,indo1316",16,yes,new phoneme,voicing,voicing may not be distinctive in native phonology
52,asil1242,52,d̠ʒ,"ambo1250,indo1316",16,yes,new phoneme,affricate,
53,asil1242,53,ɡ,"ambo1250,indo1316",16,yes,new phoneme,voicing,voicing may not be distinctive in native phonology
54,asil1242,54,ŋ,"ambo1250,indo1316",16,yes,new phoneme,no,
55,asil1242,55,t̠ʃ,"ambo1250,indo1316",16,yes,new phoneme,affricate,
56,awiy1238,56,t,,17,unknown,to be checked,to be checked,"(free,loan) spaAllophoneDescription: [s]"
57,bafu1246,57,r,stan1293,18,no,to be checked,to be checked,"restricted distribution as an allophone of /l/ intervocally. Few words containing [r] are attested in the speech of a few educated speakers. These, I think, are words that are not yet fully integrated into the sound system of the language. In most words, /r/ in loanwords appears as [l]. does [r] occur in the relevant english variety? Source language uncertain"
58,bamb1262,58,t̠ʃʼ,egyp1254,19,yes,new phoneme,to be checked,no other affricates.
59,bash1264,59,e,,20,yes,other distributional change,unknown,
60,bash1264,60,f,,20,yes,new phoneme,unknown,
61,bash1264,61,ɔ,,20,yes,other distributional change,unknown,
62,bash1264,62,ts,,20,yes,other distributional change,unknown,
63,bash1264,63,t̠ʃ,,20,yes,other distributional change,unknown,
64,bash1264,64,v,,20,yes,other distributional change,unknown,
65,bash1264,65,z,,20,yes,other distributional change,unknown,
66,bash1264,66,ʒ,,20,yes,other distributional change,unknown,
67,basq1248,67,χ,,21,yes,to be checked,to be checked,(loan)
68,bazz1238,68,f,,22,yes,to be checked,to be checked,
69,bazz1238,69,v,,22,yes,to be checked,to be checked,
70,bela1254,70,f,russ1263,23,yes,new phoneme,unknown,
71,bela1254,71,fʲ,russ1263,23,yes,new phoneme,unknown,
72,beng1280,72,s,,24,unknown,to be checked,to be checked,"(allo,restricted,loan)"
73,beta1257,73,bˤ,,25,yes,to be checked,to be checked,
74,beta1257,74,d̠ʒ,,25,yes,to be checked,to be checked,
75,beta1257,75,dˤ,,25,yes,to be checked,to be checked,
76,beta1257,76,ðˤ,,25,yes,to be checked,to be checked,
77,beta1257,77,f,,25,yes,to be checked,to be checked,
78,beta1257,78,pˤ,,25,yes,to be checked,to be checked,
79,beta1257,79,ʁ,,25,yes,to be checked,to be checked,
80,beta1257,80,t̠ʃ,,25,yes,to be checked,to be checked,
81,beta1257,81,v,,25,yes,to be checked,to be checked,
82,beta1257,82,zˤ,,25,yes,to be checked,to be checked,
83,beta1257,83,ʒ,,25,yes,to be checked,to be checked,
84,bett1235,84,d,,26,yes,other distributional change,unknown,
85,bett1235,85,f,,26,yes,other distributional change,unknown,
86,biak1248,86,l,indo1316,27,no,to be checked,to be checked,"In loanwords, but also as a variant of /r/ for special pragmatic effects in contexts of playing games or allusions to sexual intercourse"
87,biak1248,87,t,,27,no,to be checked,to be checked,"Very infrequent, occurs mostly in loanwords. Some elder speakers accommodate loanword [t] as [s]. Younger generations are fluent in Indonesian which has /t/."
88,bier1244,88,f,bisl1239,28,yes,new phoneme,labiodental,
89,bier1244,89,h,bisl1239,28,yes,new phoneme,glottal,
90,bier1244,90,v,bisl1239,28,yes,new phoneme,labiodental,
91,boht1238,91,f,"kurd1259,arab1395",29,yes,to be checked,to be checked,
92,boht1238,92,k,kurd1259,29,yes,phonologization of allophone,to be checked,"unaspirated k is found only in Kurdish loanwords, but the /k/ phoneme also shows a lot of variation, and an unaspirated [k] is one of its realizations"
93,boht1238,93,t̠ʃ,kurd1259,29,no,other distributional change,to be checked,
94,boht1238,94,v,,29,yes,to be checked,to be checked,
95,bret1244,95,ɛ̃ː,,30,yes,to be checked,to be checked,(loan)
96,bulg1262,96,dz,,31,unknown,to be checked,to be checked,"(limited,loan,allo)"
97,nucl1310,97,r,pali1273,32,yes,new phoneme,unknown,
98,buru1296,98,f,,33,unknown,to be checked,to be checked,"(loan,free)"
99,buru1296,99,χ,,33,unknown,to be checked,to be checked,"(loan,free)"
100,cahu1264,100,f,stan1288,34,yes,to be checked,unknown,
101,cast1244,101,ʃ,stan1293,35,yes,other distributional change,unknown,
102,cent2142,102,r,stan1288,36,yes,new phoneme,trill,
103,cent2142,103,r̝,"stan1288,quec1387",36,no,phonologization of allophone,trill,defined as 'voiced sibilant trill'. Appears also as an allophone of native /ɾ/ in the environment of /s/.
104,cent2050,104,x,,37,yes,to be checked,to be checked,(loan)
105,azer1255,105,k,,38,yes,to be checked,to be checked,
106,lish1247,106,d̠ʒ,arab1395,39,yes,to be checked,to be checked,
107,lish1247,107,f,"kurd1259,arab1395",39,yes,to be checked,to be checked,
108,lish1247,108,ħ,"arab1395,hebr1246",39,yes,new phoneme,pharyngeal,
109,lish1247,109,ʁ,arab1395,39,yes,phonologization of allophone,to be checked,
110,lish1247,110,t̠ʃ,"kurd1259,nucl1301",39,mostly,other distributional change,to be checked,
111,lish1247,111,v,"kurd1259,hebr1246",39,yes,to be checked,to be checked,
112,lish1247,112,ʒ,kurd1259,39,yes,to be checked,to be checked,
113,lish1247,113,ʕ,"arab1395,hebr1246",39,yes,new phoneme,pharyngeal,
114,cher1273,114,b,stan1288,40,yes,new phoneme,no,in other loans it was substituted with [w]
115,cher1273,115,p,stan1288,40,yes,new phoneme,no,in other loans it was substituted with [w]
116,chil1281,116,b,stan1293,41,yes,new phoneme,to be checked,Found only in ad hoc borrowings (code-switches)
117,chil1281,117,k,,41,yes,new phoneme,no,Found only in borrowings
118,chil1281,118,kʼ,,41,yes,new phoneme,no,Found only in borrowings
119,chil1281,119,n,stan1293,41,yes,new phoneme,to be checked,Found only in ad hoc borrowings (code-switches)
120,chil1281,120,ɽ,stan1293,41,yes,new phoneme,to be checked,Found only in ad hoc borrowings (code-switches)
121,chim1300,121,f,stan1288,42,mostly,new phoneme,no,Only one native word
122,chiq1250,122,b,,43,yes,to be checked,to be checked,(loan)
123,chiq1250,123,ð,,43,yes,to be checked,to be checked,(loan)
124,chiq1250,124,ɣ,,43,yes,to be checked,to be checked,(loan)
125,chiq1250,125,p,,43,yes,to be checked,to be checked,(loan)
126,chiq1250,126,r,,43,yes,to be checked,to be checked,(loan)
127,chol1282,127,d,stan1288,44,yes,new phoneme,no,
128,chol1282,128,f,stan1288,44,yes,new phoneme,no,
129,chol1282,129,ɡ,stan1288,44,yes,new phoneme,no,
130,chol1282,130,n,stan1288,44,yes,phonologization of allophone,no,
131,chol1282,131,r,stan1288,44,yes,new phoneme,no,
132,chol1282,132,t,stan1288,44,yes,phonologization of allophone,no,
133,chol1284,133,b,stan1288,45,yes,new phoneme,to be checked,no previous voiced stops
134,chol1284,134,d,stan1288,45,yes,new phoneme,to be checked,no previous voiced stops
135,chol1284,135,f,stan1288,45,yes,new phoneme,no,
136,chol1284,136,ɡ,stan1288,45,yes,new phoneme,to be checked,no previous voiced stops
137,chol1284,137,r,stan1288,45,yes,new phoneme,to be checked,
138,chuv1255,138,b,russ1263,47,yes,other distributional change,unknown,
139,chuv1255,139,d̪,russ1263,47,yes,other distributional change,unknown,
140,chuv1255,140,f,russ1263,47,yes,other distributional change,unknown,
141,chuv1255,141,ɡ,russ1263,47,yes,other distributional change,unknown,
142,chuv1255,142,o,russ1263,47,yes,other distributional change,unknown,
143,chuv1255,143,ts,russ1263,47,yes,other distributional change,unknown,
144,chuv1255,144,z,russ1263,47,yes,other distributional change,unknown,
145,chuv1255,145,ʐ,russ1263,47,yes,other distributional change,unknown,
146,coat1238,146,b,stan1288,48,no,phonologization of allophone,no,"Voiced stops are allophonic intervocalically in the native lexicon, but borrowings have evidently made these contrastive."
147,coat1238,147,d,stan1288,48,no,phonologization of allophone,no,"Voiced stops are allophonic intervocalically in the native lexicon, but borrowings have evidently made these contrastive."
148,coat1238,148,ɡ,stan1288,48,no,phonologization of allophone,no,"Voiced stops are allophonic intervocalically in the native lexicon, but borrowings have evidently made these contrastive."
149,coco1260,149,h,"stan1293,arab1395",49,yes,new phoneme,no,Phoneme is uncommon. Author mentions influence of standard Indonesian and English
150,coco1260,150,v,stan1293,49,yes,new phoneme,no,Phoneme is uncommon. Author mentions influence of standard Indonesian and English
151,coco1260,151,z,"stan1293,arab1395",49,yes,new phoneme,no,Phoneme is uncommon. Author mentions influence of standard Indonesian and English
152,copa1236,152,b,,50,unknown,to be checked,to be checked,"(allo,loan)"
153,copa1236,153,d,,50,unknown,to be checked,to be checked,"(allo,loan)"
154,copa1236,154,f,,50,yes,to be checked,to be checked,(loan)
155,copa1236,155,ɡ,,50,unknown,to be checked,to be checked,"(allo,loan)"
156,copa1236,156,r,,50,yes,to be checked,to be checked,(loan)
157,copa1236,157,ɾ,,50,yes,to be checked,to be checked,(loan)
158,copt1239,158,d,gree1276,51,yes,to be checked,to be checked,Coptic did not have voice distinctions in obstruents.
159,copt1239,159,ɡ,gree1276,51,yes,to be checked,to be checked,Coptic did not have voiced obstruents.
160,copt1239,160,z,gree1276,51,yes,to be checked,to be checked,"Coptic did not have voice distinctions in obstruents. note: [z] is attested as a rare allophone of /s/ in voiced environments, but it is not contrastive in native words."
161,crow1244,161,l,stan1293,52,no,phonologization of allophone,lateral,appears as an allophone of /n/ in conservative speech and related Hidatsa.
162,cupe1243,162,d,stan1288,54,yes,new phoneme,voicing,Cupeño does not have a voicing distinction in non-loan words
163,cupe1243,163,ɛ,stan1288,54,no,phonologization of allophone,no,appears in a few native words and as an allophone of /e/
164,cupe1243,164,f,stan1288,54,yes,new phoneme,no,
165,cupe1243,165,ɡ,stan1288,54,yes,new phoneme,voicing,Cupeño does not have a voicing distinction in non-loan words
166,cupe1243,166,o,"stan1288,tong1329",54,yes,new phoneme,no,
167,cupe1243,167,ɾ,tong1329,54,yes,new phoneme,tap,probably from Tongva via Luiseño
168,daur1238,168,f,,55,no,to be checked,unknown,Mostly in loanwords
169,daur1238,169,p,,55,no,to be checked,unknown,Mostly in loanwords
170,dame1241,170,ɣ,,56,yes,other distributional change,unknown,
171,dame1241,171,x,,56,yes,other distributional change,unknown,
172,diml1238,172,sˤ,,57,yes,to be checked,to be checked,
173,diml1238,173,tˤ,,57,yes,to be checked,to be checked,
174,diml1238,174,ʕ,,57,yes,to be checked,to be checked,
175,duka1248,175,s,tokp1240,58,no,other distributional change,no,in native phonology /s/ appears only morpheme-initially
176,dusn1237,176,d̠ʒ,indo1316,59,yes,new phoneme,affricate,
177,dusn1237,177,h,indo1316,59,yes,new phoneme,glottal,
178,dusn1237,178,l,indo1316,59,no,other distributional change,no,appears also in proper names
179,dusn1237,179,ɲ,indo1316,59,yes,new phoneme,no,
180,dusn1237,180,t̠ʃ,indo1316,59,yes,new phoneme,affricate,
181,east2440,181,d̠ʒ,"tern1247,nort2828,stan1293",60,yes,new phoneme,affricate,
182,east2440,182,f,"tern1247,nort2828,dutc1256,arab1395",60,yes,new phoneme,labiodental,
183,east2440,183,t̠ʃ,"tern1247,nort2828,macr1272,dutc1256",60,no,phonologization of allophone,affricate,appears as an allophone of /s/ in native phonology
184,east2440,184,ʔ,arab1395,60,yes,new phoneme,no,marginal
185,nucl1235,185,f,,61,yes,to be checked,to be checked,(loan)
186,east2495,186,n,stan1293,62,no,phonologization of allophone,no,allophone of native /ɺ/ word initially. appears word medially in loanwords. Bilingualism is uncommon
187,east2328,187,f,,63,yes,to be checked,to be checked,(loan)
188,east2328,188,pʲ,,63,yes,to be checked,to be checked,(loan)
189,east2328,189,sʲ,,63,yes,to be checked,to be checked,(loan)
190,east2328,190,tʲ,,63,yes,to be checked,to be checked,(loan)
191,east2328,191,ts,,63,yes,to be checked,to be checked,(loan)
192,east2328,192,x,,63,yes,to be checked,to be checked,(loan)
193,east2542,193,l,,64,yes,to be checked,to be checked,(loan)
194,panj1256,194,f,,65,unknown,to be checked,to be checked,"(loan,free)"
195,panj1256,195,z̻,,65,yes,to be checked,to be checked,(loan)
196,egyp1253,196,d̠ʒ,,66,yes,to be checked,to be checked,(loan)
197,egyp1253,197,p,,66,unknown,to be checked,to be checked,"(loan,free)"
198,egyp1253,198,v,,66,unknown,to be checked,to be checked,"(loan,free)"
199,stan1293,199,x,,67,yes,to be checked,to be checked,(loan)
200,esto1258,200,f,,68,yes,other distributional change,unknown,
201,esto1258,201,ʃ,,68,yes,other distributional change,unknown,
202,even1260,202,p,,69,unknown,to be checked,to be checked,"(limited,loan)"
203,even1260,203,z,,69,yes,to be checked,to be checked,(loan)
204,ewee1241,204,p,,70,yes,to be checked,to be checked,Gḛ dialect has also native /p/
205,finn1318,205,b,swed1254,71,yes,other distributional change,to be checked,"b is attested in Finnish dialects as an allophone, but in standard Finnish it has a restricted use, mostly in loanwords and slang words (such as abstrakti, jobbari, banaani)"
206,finn1318,206,f,swed1254,71,no,to be checked,to be checked,"f is attested in Finnish western dialects, but in standard Finnish it has a restricted use, mostly in loanwords and slang (such as farkut, bluffata, safka, katastrofi)"
207,finn1318,207,ɡ,swed1254,71,yes,to be checked,to be checked,"g is attested in Finnish dialects as an allophone, but in standard Finnish it has a restricted use, mostly in loanwords and slang (such as jogurtti, orgaaninen, gaala)"
208,finn1318,208,ʃ,"swed1254,stan1293",71,yes,new phoneme,to be checked,"only in some very few loanwords and slang word (such as bolševikki, charmi, shamaani, shampoo). Usually not considered as part of the Finnish consonant inventory"
209,fore1274,209,r,russ1263,72,yes,other distributional change,unknown,"Historically Proto Nenets r -> Forest Nenets ɬ, nowadays r in loanwords"
210,gant1244,210,ɾ,tokp1240,74,yes,new phoneme,rhotic,[ɾ] is an allophone of /t/ in native phonology.
211,garo1247,211,l,,75,unknown,to be checked,to be checked,"(loan,allo,free)"
212,gawh1238,212,ʔ,,76,yes,to be checked,to be checked,
213,gawh1238,213,ʕ,,76,yes,to be checked,to be checked,
214,gayo1244,214,ʔ,"indo1316,arab1395",77,yes,new phoneme,no,
215,nucl1302,215,h,,78,unknown,to be checked,to be checked,"(limited,loan)"
216,stan1295,216,ã,stan1290,79,yes,to be checked,to be checked,
217,stan1295,217,d̠ʒ,,79,yes,to be checked,to be checked,
218,stan1295,218,ɛ̃,stan1290,79,yes,to be checked,to be checked,
219,stan1295,219,œ̃,stan1290,79,yes,to be checked,to be checked,
220,stan1295,220,ɔ̃,stan1290,79,yes,to be checked,to be checked,
221,stan1295,221,ʒ,stan1290,79,yes,to be checked,to be checked,
222,gran1245,222,j,,80,yes,other distributional change,unknown,
223,gras1249,223,l,stan1293,81,no,phonologization of allophone,no,allophone of /ɾ/ in native phonology
224,gras1249,224,p,stan1293,81,no,phonologization of allophone,no,allophone of /f/ in native phonology
225,guer1243,225,b,stan1288,83,yes,new phoneme,to be checked,
226,guer1243,226,f,stan1288,83,yes,new phoneme,to be checked,
227,guer1243,227,j,stan1288,83,yes,new phoneme,to be checked,ll - could also be ʝ
228,guer1243,228,k,stan1288,83,yes,new phoneme,to be checked,
229,guer1243,229,p,stan1288,83,yes,new phoneme,to be checked,
230,guer1243,230,r,stan1288,83,yes,new phoneme,to be checked,
231,guer1243,231,ɾ,stan1288,83,yes,new phoneme,to be checked,
232,guer1243,232,z,stan1288,83,yes,new phoneme,to be checked,
233,hert1242,233,ɣ,,86,yes,to be checked,to be checked,
234,hert1242,234,k,,86,yes,to be checked,to be checked,
235,hert1242,235,x,,86,yes,to be checked,to be checked,
236,hert1242,236,ʕ,,86,yes,to be checked,to be checked,
237,karb1241,237,bʰ,assa1263,87,yes,new phoneme,no,"Only some speakers produce the voiced aspirated stops, others treat it as a cluster of voiced stop plus /h/ and break it up by inserting a copy vowel, e.g. /bhari/ > /bahari/. This only happens to voiced aspirated stops in onset position"
238,karb1241,238,ɡ,assa1263,87,yes,new phoneme,no,"Compared to the voiced aspirated stops, voiced /g/ seems pretty established in loanwords (from Assamese but also from other languages, like English)."
239,hueh1236,239,b,stan1288,89,yes,new phoneme,to be checked,"Two phonemes (/r/ and //) occur only in ideophones7 and Spanish loan words, and three phonemes (/b/, /d/, /g/) occur only in Spanish borrowings and as allophones of their voiceless counterparts."
240,hueh1236,240,d,stan1288,89,yes,new phoneme,to be checked,"Two phonemes (/r/ and //) occur only in ideophones7 and Spanish loan words, and three phonemes (/b/, /d/, /g/) occur only in Spanish borrowings and as allophones of their voiceless counterparts."
241,hueh1236,241,ɡ,stan1288,89,yes,new phoneme,to be checked,"Two phonemes (/r/ and //) occur only in ideophones7 and Spanish loan words, and three phonemes (/b/, /d/, /g/) occur only in Spanish borrowings and as allophones of their voiceless counterparts."
242,hueh1236,242,r,stan1288,89,mostly,other distributional change,to be checked,"Two phonemes (/r/ and //) occur only in ideophones7 and Spanish loan words, and three phonemes (/b/, /d/, /g/) occur only in Spanish borrowings and as allophones of their voiceless counterparts."
243,hueh1236,243,ɾ,stan1288,89,mostly,other distributional change,to be checked,"Two phonemes (/r/ and //) occur only in ideophones7 and Spanish loan words, and three phonemes (/b/, /d/, /g/) occur only in Spanish borrowings and as allophones of their voiceless counterparts."
244,hung1274,244,d̠ʒ,,90,yes,to be checked,to be checked,(loan)
245,hung1274,245,w,,90,yes,to be checked,to be checked,(loan)
246,hupa1239,246,qʰ,,91,yes,to be checked,to be checked,(loan)
247,igna1246,247,b,stan1288,92,yes,to be checked,to be checked,(loan)
248,igna1246,248,d,stan1288,92,yes,to be checked,to be checked,(loan)
249,igna1246,249,f,stan1288,92,yes,to be checked,to be checked,(loan)
250,igna1246,250,l,stan1288,92,yes,to be checked,to be checked,(loan)
251,igna1246,251,ŋ,stan1288,92,unknown,to be checked,to be checked,"(neutral,allo,loan)"
252,iris1253,252,d,,93,unknown,to be checked,to be checked,"(loan,allo)"
253,iris1253,253,tʰ,,93,unknown,to be checked,to be checked,"(loan,allo)"
254,itza1241,254,ɗ,stan1288,94,yes,to be checked,to be checked,pulmonic rendered as implosive!
255,itza1241,255,f,stan1288,94,yes,to be checked,to be checked,
256,itza1241,256,ɡ,stan1288,94,yes,to be checked,to be checked,
257,itza1241,257,r,stan1288,94,no,to be checked,to be checked,rarely in native words - onomatopoeias and sound-symbolic words
258,jams1239,258,f,fula1264,95,yes,new phoneme,unknown,
259,jams1239,259,h,fula1264,95,yes,new phoneme,to be checked,
260,jams1239,260,ʃ,stan1290,95,no,phonologization of allophone,unknown,"There is no clear s/s& opposition. The single native sibilant phonene is usually pronounced s, with occasional s&-like articulations especially before i. s& does seem to be regular in a few borrowings: s&i@nwa^˘ ‘Chinese person’ (French chinois), s&i@nwa@˘ru$ ‘balm’."
261,nucl1643,261,ɕ,stan1293,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
262,nucl1643,262,d,stan1293,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
263,nucl1643,263,f,,96,no,phonologization of allophone,unknown,
264,nucl1643,264,j,,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
265,nucl1643,265,ɸ,stan1293,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
266,nucl1643,266,t,stan1293,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
267,nucl1643,267,tɕ,stan1293,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
268,nucl1643,268,ts,stan1295,96,no,to be checked,to be checked,[ts] occurs as an allophone of /t/ and /s/ in certain enviroments.
269,nucl1643,269,v,,96,no,phonologization of allophone,unknown,
270,nucl1643,270,w,stan1293,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
271,nucl1643,271,ʑ,,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
272,nucl1643,272,β,,96,no,to be checked,to be checked,"occurs natively in certain environments, borrowing has broadened its distribution"
273,jauj1238,273,b,stan1288,97,unknown,other distributional change,unknown,
274,jauj1238,274,d,stan1288,97,unknown,other distributional change,unknown,
275,jauj1238,275,e,stan1288,97,unknown,other distributional change,unknown,
276,jauj1238,276,f,stan1288,97,unknown,other distributional change,unknown,
277,jauj1238,277,ɡ,stan1288,97,unknown,other distributional change,unknown,
278,jauj1238,278,o,stan1288,97,unknown,other distributional change,unknown,
279,jilu1238,279,j,,98,yes,to be checked,to be checked,
280,kaba1278,280,ʕ,,99,yes,to be checked,to be checked,(loan)
281,kaby1243,281,b,"arab1395,stan1290",100,no,to be checked,to be checked,"occurs in native words in narrow distribution, borrowing has broadened its distribution. was also used in expressive derivations, maybe French as source language too"
282,kaby1243,282,h,arab1395,100,no,to be checked,to be checked,was also used in expressive derivations
283,kaby1243,283,ħ,arab1395,100,unknown,to be checked,to be checked,was also used in expressive derivations
284,kaby1243,284,q,arab1395,100,no,to be checked,to be checked,natively as the allophone of /ʁ/ (transcribed <ɣ>) when doubled. was also used in expressive derivations
285,kaby1243,285,sˤ,arab1395,100,no,to be checked,to be checked,"Rarely in native words, as an unvoiced allophone of /zˤ/. in the earlier loans was rendered as /zˤ/ was also used in expressive derivations"
286,kaby1243,286,ʃ,"arab1395,stan1290",100,no,to be checked,to be checked,"was also used in expressive derivations, maybe French as source language too"
287,kaby1243,287,tˤ,arab1395,100,no,to be checked,to be checked,"natively as an unvoiced allophone of /dˤ/, and when doubled. was also used in expressive derivations"
288,kaby1243,288,ʒ,"arab1395,stan1290",100,no,to be checked,to be checked,"was also used in expressive derivations, maybe French as source language too"
289,kaby1243,289,ʕ,arab1395,100,unknown,to be checked,to be checked,was also used in expressive derivations
290,kaby1243,290,χ,arab1395,100,no,to be checked,to be checked,"natively as an unvoiced allophone of /ʁ/ (transcribed <ɣ>), and when doubled. was also used in expressive derivations"
291,kala1399,291,h,dani1285,101,yes,new phoneme,unknown,Exists also in a few native interjections
292,kala1399,292,j,dani1285,101,no,other distributional change,no,"Furthermore, segments restricted to word-internal position in native words may occur word-initially in loan-words, as in viinni ,wine' (similarly with /j/, /l/ and /r/)."
293,kala1399,293,l,dani1285,101,no,other distributional change,no,"Furthermore, segments restricted to word-internal position in native words may occur word-initially in loan-words, as in viinni ,wine' (similarly with /j/, /l/ and /r/)."
294,kala1399,294,r,dani1285,101,no,other distributional change,no,"Furthermore, segments restricted to word-internal position in native words may occur word-initially in loan-words, as in viinni ,wine' (similarly with /j/, /l/ and /r/)."
295,kala1399,295,ɹ̺,dani1285,101,yes,new phoneme,unknown,Apico-postalveolar voiced /r/
296,kala1399,296,v,dani1285,101,no,other distributional change,no,"Furthermore, segments restricted to word-internal position in native words may occur word-initially in loan-words, as in viinni ,wine' (similarly with /j/, /l/ and /r/)."
297,kala1374,297,f,,102,mostly,other distributional change,unknown,
